"congress","state","congressional_district","party","name","ideology_score"
113,"ARIZONA",3,"Democrat","GRIJALVA",-0.567
113,"ARIZONA",4,"Republican","GOSAR",0.808
113,"ARIZONA",5,"Republican","SALMON",0.87
113,"ARIZONA",6,"Republican","SCHWEIKERT",0.897
113,"ARIZONA",7,"Democrat","PASTOR",-0.416
113,"ARIZONA",8,"Republican","FRANKS",0.856
113,"ARIZONA",9,"Democrat","SINEMA",-0.102
113,"ARKANSA",1,"Republican","CRAWFORD",0.464
113,"ARKANSA",2,"Republican","GRIFFIN",0.695
113,"ARKANSA",3,"Republican","WOMACK",0.438
113,"ARKANSA",4,"Republican","COTTON",0.916
113,"CALIFOR",1,"Republican","LAMALFA",0.758
113,"CALIFOR",2,"Democrat","HUFFMAN",-0.455
113,"CALIFOR",3,"Democrat","GARAMENDI",-0.322
113,"CALIFOR",4,"Republican","MCCLINTOCK",0.998
113,"CALIFOR",5,"Democrat","THOMPSON",-0.392
113,"CALIFOR",6,"Democrat","MATSUI",-0.438
113,"CALIFOR",7,"Democrat","BERA",-0.19
113,"CALIFOR",8,"Republican","COOK",0.633
113,"CALIFOR",9,"Democrat","MCNERNEY",-0.241
113,"CALIFOR",10,"Republican","DENHAM",0.671
113,"CALIFOR",11,"Democrat","MILLER",-0.607
113,"CALIFOR",12,"Democrat","PELOSI",-0.393
113,"CALIFOR",13,"Democrat","LEE",-0.645
113,"CALIFOR",14,"Democrat","SPEIER",-0.458
113,"CALIFOR",15,"Democrat","SWALWELL",-0.365
113,"CALIFOR",16,"Democrat","COSTA",-0.167
113,"CALIFOR",17,"Democrat","HONDA",-0.528
113,"CALIFOR",18,"Democrat","ESHOO",-0.371
113,"CALIFOR",19,"Democrat","LOFGREN",-0.404
113,"CALIFOR",20,"Democrat","FARR",-0.466
113,"CALIFOR",21,"Republican","VALADAO",0.595
113,"CALIFOR",22,"Republican","NUNES",0.685
113,"CALIFOR",23,"Republican","MCCARTHY",0.666
113,"CALIFOR",24,"Democrat","CAPPS",-0.418
113,"CALIFOR",25,"Republican","MCKEON",0.582
113,"CALIFOR",26,"Democrat","BROWNLEY",-0.26
113,"CALIFOR",27,"Democrat","CHU",-0.5
113,"CALIFOR",28,"Democrat","SCHIFF",-0.344
113,"CALIFOR",29,"Democrat","CARDENAS",-0.351
113,"CALIFOR",30,"Democrat","SHERMAN",-0.366
113,"CALIFOR",31,"Republican","MILLER",0.608
113,"CALIFOR",32,"Democrat","NAPOLITA",-0.504
113,"CALIFOR",33,"Democrat","WAXMAN",-0.425
113,"CALIFOR",34,"Democrat","BECERRA",-0.43
113,"CALIFOR",35,"Democrat","NEGRETE MC",-0.403
113,"CALIFOR",36,"Democrat","RUIZ",-0.198
113,"CALIFOR",37,"Democrat","BASS",-0.502
113,"CALIFOR",38,"Democrat","SANCHEZ",-0.477
